id,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language,match
9776,9776,2748,275,Angels Fall,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Jun 2007,464,Berkley Books,English,Angels Fall,Nora Roberts,Romance;Romance;Romantic Suspense;Mystery;Fiction;Romance;Contemporary Romance;Suspense;Contemporary,July 11th 2006,391,Putnam,English,1
9970,9970,176,278,Married by Morning : One night can change everything . . .,Lisa Kleypas,Historical Romance:Historical Romance,27 Dec 2010,341,St Martin's Press,English,Mine Till Midnight,Lisa Kleypas,Romance;Historical Romance;Historical;Historical;Historical Fiction;Romance;Historical;Regency,October 2nd 2007,376,St. Martin's Paperbacks,English,0
10388,10388,1127,284,Safe Haven,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books,26 Jun 2012,405,Time Warner Trade Publishing,English,Safe Haven,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary,September 14th 2010,340,Grand Central Publishing,English,1
10398,10398,2503,285,Reason to Breathe (The Breathing Series #1),Rebecca Donovan,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,17 Jan 2013,544,Penguin Books Ltd,English,Barely Breathing,Rebecca Donovan,Romance;Young Adult;New Adult;Sociology;Abuse;Contemporary,May 8th 2012,385,Smashwords,English,0
10408,10408,313,286,Seduction of a Highland Lass,Maya Banks,Contemporary Fiction:Erotic Fiction:Historical Romance:Historical Romance:Historical Fiction,05 Mar 2015,352,Random House USA Inc,English,Never Love a Highlander,Maya Banks,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,October 25th 2011,305,Ballantine Books,English,0
10565,10565,3869,290,Amante Liberada #9 / Lover Unleashed #9,JR Ward,Horror:Horror:Erotic Fiction:Romance:Romance Books,27 Dec 2016,606,DEBOLSILLO,Spanish,Lover Unleashed,J.R. Ward,Fantasy;Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy;Urban Fantasy;Paranormal;Vampires,March 29th 2011,512,NAL,English,1
10631,10631,2618,292,First Star I See Tonight,Susan Elizabeth Phillips,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Sep 2016,384,HarperCollins Publishers Inc,English,First Lady,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,February 8th 2000,384,Avon,English,0
10758,10758,1779,294,The Night Circus,Erin Morgenstern,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,03 Jul 2012,528,Turtleback Books,English,The Night Circus,Erin Morgenstern,Historical;Historical Fiction;Adult;Adult Fiction,September 13th 2011,400,Doubleday,English,1
10876,10876,179,296,The Darkest Surrender,Gena Showalter,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Sep 2011,432,HarperCollins Publishers,English,The Darkest Surrender,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,September 27th 2011,426,HQN Books,English,1
11010,11010,2364,298,Surrender,Pamela Clare,Romance:Romance Books:Historical Romance:Historical Romance,06 Dec 2011,354,Penguin Putnam Inc,English,Surrender,Pamela Clare,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,October 28th 2008,355,Leisure,,1
11125,11125,665,303,Night Pleasures (Dark-Hunter Novels),Sherrilyn Kenyon,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Apr 2010,324,St Martin's Press,English,Night Pleasures,Sherrilyn Kenyon,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy;Paranormal;Vampires;Fantasy;Urban Fantasy,September 15th 2009,320,St. Martin's Press,English,1
11342,11342,212,307,The Darkest Secret,Gena Showalter,Romance:Romance Books,29 Mar 2011,416,HarperCollins Publishers,English,The Darkest Whisper,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,September 1st 2009,406,HQN Books,English,0
11345,11345,603,307,The Darkest Whisper,Gena Showalter,Fantasy:Fantasy Books:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Aug 2009,416,HarperCollins Publishers,English,The Darkest Whisper,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,September 1st 2009,406,HQN Books,English,1
11559,11559,3774,310,Beautiful secret (Un secreto explosivo),Christina Lauren,Erotic Fiction:Romance:Romance Books,21 Jul 2015,357,DEBOLSILLO,Spanish,Beautiful Bastard,Christina Lauren,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;New Adult;Adult,February 12th 2013,320,Gallery Books,English,0
11733,11733,80,315,"The Princess Bride : S. Morgenstern's Classic Tale of True Love and High Adventure; The ""Good Parts"" Version",William Goldman,Classic Books & Novels:Adventure Books:Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,06 Feb 2008,456,Harcourt Children's Books,English,The Princess Bride,William Goldman,Fantasy;Science Fiction Fantasy;Young Adult,July 15th 2003,398,Ballantine Books (Ballantine Reader's Circle),English,1
11809,11809,984,317,Nauti Intentions,Lora Leigh,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,07 May 2009,339,Penguin Putnam Inc,English,Nauti Boy,Lora Leigh,Romance;Adult Fiction;Erotica;Romance;Contemporary Romance;Romance;Erotic Romance;Contemporary;Romance;Romantic Suspense,March 1st 2007,294,Heat,English,0
11823,11823,906,317,Nauti Intentions,Lora Leigh,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Nov 2011,330,Penguin Putnam Inc,English,Nauti Boy,Lora Leigh,Romance;Adult Fiction;Erotica;Romance;Contemporary Romance;Romance;Erotic Romance;Contemporary;Romance;Romantic Suspense,March 1st 2007,294,Heat,English,0
12285,12285,364,323,The Immortal Highlander,Karen Marie Moning,Romance:Romance Books:Historical Romance:Historical Romance,01 Aug 2005,384,Bantam Doubleday Dell Publishing Group Inc,English,Beyond the Highland Mist,Karen Marie Moning,Romance;Science Fiction;Time Travel;Romance;Historical Romance;Romance;Paranormal Romance;Fantasy;Fantasy;Paranormal;Historical,May 29th 2007,375,Dell,English,0
12414,12414,968,326,If I Were You,Lisa Renee Jones,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,03 Dec 2013,352,SIMON & SCHUSTER,English,If I Were You,Lisa Renee Jones,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Contemporary;Adult;Romance;Contemporary Romance;Mystery;Romance;Erotic Romance;Suspense;Romance;Romantic Suspense,September 13th 2012,384,Lisa Renee Jones,,1
12634,12634,468,328,The Elusive Bride,Stephanie Laurens,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,528,HarperCollins Publishers (Australia) Pty Ltd,English,Devil's Bride,Stephanie Laurens,Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,March 1st 1998,388,Avon,English,0
12658,12658,1587,328,The Ideal Bride,Stephanie Laurens,Historical Romance:Historical Romance:Historical Fiction,29 Aug 2011,431,HarperCollins Publishers Inc,English,Devil's Bride,Stephanie Laurens,Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,March 1st 1998,388,Avon,English,0
12697,12697,212,329,The Darkest Secret,Gena Showalter,Romance:Romance Books,29 Mar 2011,416,HarperCollins Publishers,English,The Darkest Secret,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,March 29th 2011,410,HQN Books,English,1
12698,12698,2515,329,The Darkest Promise,Gena Showalter,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Mar 2018,512,HQN,English,The Darkest Secret,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,March 29th 2011,410,HQN Books,English,0
12848,12848,1446,338,The Key Trilogy : Key of Light/Key of Knowledge/Key of Valor,Nora Roberts,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,30 Oct 2013,None,Penguin Putnam Inc,English,Key of Knowledge,Nora Roberts,Romance;Fantasy;Paranormal;Fantasy;Fiction;Romance;Paranormal Romance,November 25th 2003,327,Jove Pubns,English,0
13280,13280,456,350,The Viscount Who Loved Me : Number 2 in series,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,08 Jun 2006,384,Little Brown Book Group,English,The Viscount Who Loved Me,Julia Quinn,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction,June 27th 2006,354,Avon,English,1
13325,13325,2152,351,The Spymaster's Lady,Joanna Bourne,Espionage:Espionage:Historical Romance:Historical Romance,02 Jan 2008,373,Berkley Books,English,The Spymaster's Lady,Joanna Bourne,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Spy Thriller;Espionage;Fiction;Historical;Regency;Adult;Adventure;Audiobook,January 2nd 2008,373,Berkley Sensation Penguin Random House,English,1
13402,13402,105,355,The Last Boyfriend,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 May 2012,336,Penguin Putnam Inc,English,The Last Boyfriend,Nora Roberts;MacLeod Andrews,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Womens Fiction;Chick Lit,May 1st 2012,11,Brilliance Audio,English,1
13794,13794,620,365,Losing Hope,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Oct 2013,321,SIMON & SCHUSTER,English,Losing Hope,Colleen Hoover,Romance;New Adult;Young Adult;Contemporary,July 8th 2013,321,Atria Books,,1
14226,14226,537,382,To Distraction,Stephanie Laurens,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,18 Aug 2011,483,HarperCollins Publishers Inc,English,The Mane Attraction,Shelly Laurenston,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Shapeshifters,October 28th 2008,320,Brava,English,0
14667,14667,3776,393,Amante Consagrado #6 / Lover Enshrined #6,JR Ward,Horror:Horror:Erotic Fiction:Romance:Romance Books,26 Jan 2016,586,DEBOLSILLO,Spanish,Lover Enshrined,J.R. Ward,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance;Fantasy,June 3rd 2008,534,Signet,English,1
14678,14678,621,394,The Darkest Hour,Maya Banks,Thriller Books:Thrillers:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,304,Penguin Putnam Inc,English,The Darkest Hour,Maya Banks,Romance;Romance;Romantic Suspense;War;Military;Suspense;Contemporary,September 7th 2010,304,Berkley,English,1
14781,14781,1971,397,Marrying Winterborne,Lisa Kleypas,Historical Romance:Historical Romance,31 May 2016,416,Little Brown Book Group,English,Married By Morning,Lisa Kleypas,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction;Historical;Regency;Adult,May 25th 2010,341,St. Martin's Paperbacks,English,0
15421,15421,212,422,The Darkest Secret,Gena Showalter,Romance:Romance Books,29 Mar 2011,416,HarperCollins Publishers,English,The Darkest Seduction,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,February 28th 2012,504,HQN Books,English,0
15423,15423,590,422,The Darkest Touch : A Spellbinding Paranormal Romance Novel,Gena Showalter,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Mar 2015,496,Harlequin Books,English,The Darkest Seduction,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,February 28th 2012,504,HQN Books,English,0
15553,15553,3253,424,Poughkeepsie,Debra Anastasia,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Mar 2014,372,Omnific Publishing,English,Poughkeepsie,Debra Anastasia,Romance;Romance;Contemporary Romance;Contemporary;Did Not Finish;New Adult,November 22nd 2011,372,Omnific Publishing,,1
15615,15615,419,426,Then Came You,Lisa Kleypas,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,30 Jun 2015,400,HarperCollins Publishers Inc,English,Then Came You,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,September 30th 2003,384,Avon,English,1
15690,15690,1651,427,Price of Pleasure,Kresley Cole,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,29 Jun 2004,384,Simon & Schuster Ltd,English,Pleasure of a Dark Prince,Kresley Cole,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Vampires,February 16th 2010,431,Pocket Books,English,0
15755,15755,1538,430,Slightly Sinful,Mary Balogh,Historical Romance:Historical Romance,02 Jul 2004,342,Random House USA Inc,English,Slightly Dangerous,Mary Balogh,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,March 1st 2005,365,Dell,English,0
15758,15758,1557,430,Slightly Wicked,Mary Balogh,Historical Romance:Historical Romance,29 Apr 2003,342,Bantam Doubleday Dell Publishing Group Inc,English,Slightly Dangerous,Mary Balogh,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,March 1st 2005,365,Dell,English,0
15765,15765,1618,430,Slighty Tempted,Mary Balogh,Historical Romance:Historical Romance,30 Dec 2003,256,Bantam Doubleday Dell Publishing Group Inc,English,Slightly Dangerous,Mary Balogh,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,March 1st 2005,365,Dell,English,0
15820,15820,197,432,Archangel's Storm,Nalini Singh,Romance:Romance Books,04 Sep 2012,337,Penguin Putnam Inc,English,Angels' Blood,Nalini Singh,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,March 3rd 2009,339,Berkley Sensation,,0
15837,15837,1071,432,Archangel's Enigma,Nalini Singh,Romance:Romance Books,01 Sep 2015,371,Berkley Books,English,Angels' Blood,Nalini Singh,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,March 3rd 2009,339,Berkley Sensation,,0
15838,15838,1072,432,Archangel's Consort : Book 3,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,10 Feb 2011,336,Orion Publishing Co,English,Angels' Blood,Nalini Singh,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,March 3rd 2009,339,Berkley Sensation,,0
15841,15841,1089,432,Archangel's Heart : Book 9,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,03 Nov 2016,400,Orion Publishing Co,English,Angels' Blood,Nalini Singh,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,March 3rd 2009,339,Berkley Sensation,,0
15853,15853,1208,432,Archangel's Shadows : Book 7,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,06 Nov 2014,384,Orion Publishing Co,English,Angels' Blood,Nalini Singh,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,March 3rd 2009,339,Berkley Sensation,,0
16029,16029,497,437,Into the Wilderness,Sara Donati,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,01 Feb 2009,912,Random House USA Inc,English,Into the Wilderness,Sara Donati,Historical;Historical Fiction;Romance;Historical;Fiction;Romance;Historical Romance;Adventure,August 3rd 1999,876,Bantam Books,English,1
16069,16069,1108,440,Shades of Midnight : A Midnight Breed Novel,Lara Adrian,Horror:Horror:Fantasy:Fantasy Books:Romance:Romance Books,14 Jan 2010,383,Dell Books,English,Midnight Awakening,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,November 27th 2007,369,Dell,English,0
16071,16071,1073,440,Taken by Midnight : A Midnight Breed Novel,Lara Adrian,Horror:Horror:Romance:Romance Books,28 Sep 2010,400,Random House USA Inc,English,Midnight Awakening,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,November 27th 2007,369,Dell,English,0
16072,16072,1091,440,Midnight Awakening,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,17 Feb 2009,369,Random House USA Inc,English,Midnight Awakening,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,November 27th 2007,369,Dell,English,1
16075,16075,1115,440,Veil of Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,17 Feb 2009,355,Random House USA Inc,English,Midnight Awakening,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,November 27th 2007,369,Dell,English,0
16077,16077,1215,440,Darker After Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,16 Jan 2012,416,Little Brown Book Group,English,Midnight Awakening,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,November 27th 2007,369,Dell,English,0
16086,16086,201,441,Bloodfever,Karen Marie Moning,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Aug 2008,349,Random House USA Inc,English,Bloodfever,Karen Marie Moning,Fantasy;Urban Fantasy;Fantasy;Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Fairies;Fae,October 16th 2007,303,Delacorte Press,English,1
16141,16141,204,442,Maybe Someday,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,18 Mar 2014,384,Simon & Schuster Ltd,English,Maybe Someday,Colleen Hoover,Romance;New Adult;Contemporary;Young Adult;Romance;Contemporary Romance,March 18th 2014,385,Atria Books,,1
16554,16554,512,462,When He Was Wicked,Julia Quinn,Historical Romance:Historical Romance,08 Jul 2011,368,HarperCollins Publishers Inc,English,When He Was Wicked,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,June 29th 2004,368,Avon,English,1
16687,16687,2429,470,Christmas Ever After,Sarah Morgan,Adult & Contemporary Romance:Adult & Contemporary Romance,22 Oct 2015,368,HarperCollins Publishers,English,After the Fall,Morgan O'Neill;Deborah O'Neill Cordes,Science Fiction;Time Travel;Romance;Fantasy;Historical;Historical Fiction;Romance;Paranormal Romance;Historical;Romance;Historical Romance,October 1st 2012,372,Crimson Romance,English,0
17014,17014,3121,482,Masters of the Shadowlands,Cherise Sinclair,Erotic Fiction,27 Feb 2014,380,Vanscoy Publishing Group,English,Master of the Mountain,Cherise Sinclair,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Contemporary;Romance;Erotic Romance,August 8th 2009,207,Loose Id; LLC,English,0
17143,17143,3466,489,This Man,Jodi Ellen Malpas,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,22 Oct 2013,470,Little Brown & Company,English,This Man Confessed,Jodi Ellen Malpas,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Contemporary Romance;Contemporary,July 2nd 2013,501,Forever,,0
17318,17318,1738,491,On The Way To The Wedding : Number 8 in series,Julia Quinn,Historical Romance:Historical Romance,01 Jul 2006,384,Little Brown Book Group,English,On the Way to the Wedding,Julia Quinn,Historical Romance;Regency Romance;Romance;Historical Romance;Womens Fiction;Chick Lit,June 27th 2006,371,Avon,English,1
17373,17373,594,493,The Marriage Mistake,Jennifer Probst,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Nov 2012,338,SIMON & SCHUSTER,English,The Marriage Mistake,Jennifer Probst,Romance;Romance;Contemporary Romance;Contemporary;Adult;Womens Fiction;Chick Lit;Adult Fiction;Erotica,November 6th 2012,328,,,1
17637,17637,249,500,Beautiful Bitch,Christina Lauren,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,07 Sep 2013,160,SIMON & SCHUSTER,English,Beautiful Stranger,Christina Lauren,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult;New Adult,April 16th 2013,345,Gallery Books,English,0
17662,17662,1156,500,Beautiful Secret,Christina Lauren,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Apr 2015,400,SIMON & SCHUSTER,English,Beautiful Stranger,Christina Lauren,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult;New Adult,April 16th 2013,345,Gallery Books,English,0
17714,17714,3357,500,Beautiful Bastard. Un tipo odioso: Serie Beautiful Bastard 1,Christina Lauren,Erotic Fiction:Romance:Romance Books,03 Jun 2014,272,DEBOLSILLO,Spanish,Beautiful Stranger,Christina Lauren,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult;New Adult,April 16th 2013,345,Gallery Books,English,0
17718,17718,3550,500,Beautiful player : Un Seductor Irresistible / an Irresistible Seducer,Christina Lauren,Erotic Fiction:Romance:Romance Books,03 Jun 2014,400,DEBOLSILLO,Spanish,Beautiful Stranger,Christina Lauren,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult;New Adult,April 16th 2013,345,Gallery Books,English,0
18085,18085,2688,509,Not Another Bad Date,Rachel Gibson,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,11 Jul 2011,377,HarperCollins Publishers Inc,English,Not Another Bad Date,Rachel Gibson,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,May 27th 2008,384,Avon,English,1
18244,18244,161,517,Devil in Winter : The Wallflowers Book 3,Lisa Kleypas,Historical Romance:Historical Romance,23 Feb 2016,374,HarperCollins Publishers Inc,English,A Wallflower Christmas,Lisa Kleypas,Romance;Historical Romance;Historical;Romance;Holiday;Christmas;Historical;Historical Fiction;Historical;Regency,October 14th 2008,213,St. Martin's Press,English,0
18256,18256,308,517,Wallflower Christmas,Lisa Kleypas,Historical Romance:Historical Romance,02 Nov 2010,214,St Martin's Press,English,A Wallflower Christmas,Lisa Kleypas,Romance;Historical Romance;Historical;Romance;Holiday;Christmas;Historical;Historical Fiction;Historical;Regency,October 14th 2008,213,St. Martin's Press,English,1
18748,18748,1025,535,Immortals After Dark #6: Kiss of a Demon King,Kresley Cole,Romance:Romance Books,21 Jul 2009,352,SIMON & SCHUSTER,English,Dark Desires After Dusk,Kresley Cole,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 20th 2008,368,Simon & Schuster,English,0
18905,18905,733,540,The Beast : A Novel of the Black Dagger Brotherhood,J R Ward,Horror:Horror:Romance:Romance Books,01 Nov 2016,525,Berkley Books,English,Stepbrother Dearest,Penelope Ward,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Adult Fiction;Erotica,September 23rd 2014,230,CreateSpace Independent Publishing Platform,English,0
19058,19058,384,543,If You Desire,Kresley Cole,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,15 Oct 2007,384,SIMON & SCHUSTER,English,If You Desire,Kresley Cole,Romance;Historical Romance;Romance;Historical,April 24th 2007,356,Pocket,English,1
19074,19074,1056,543,Immortals After Dark #5: Dark Desires After Dusk,Kresley Cole,Romance:Romance Books,23 May 2008,352,SIMON & SCHUSTER,English,If You Desire,Kresley Cole,Romance;Historical Romance;Romance;Historical,April 24th 2007,356,Pocket,English,0
19592,19592,355,560,Beyond The Highland Mist,Karen Marie Moning,Romance:Romance Books:Historical Romance:Historical Romance,01 Apr 2000,375,Bantam Doubleday Dell Publishing Group Inc,English,The Immortal Highlander,Karen Marie Moning,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Science Fiction;Time Travel;Romance;Historical Romance,July 26th 2005,348,Dell,English,0
19594,19594,364,560,The Immortal Highlander,Karen Marie Moning,Romance:Romance Books:Historical Romance:Historical Romance,01 Aug 2005,384,Bantam Doubleday Dell Publishing Group Inc,English,The Immortal Highlander,Karen Marie Moning,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Science Fiction;Time Travel;Romance;Historical Romance,July 26th 2005,348,Dell,English,1
19600,19600,461,560,To Tame A Highland Warrior,Karen Marie Moning,Historical Romance:Historical Romance,01 Mar 2000,366,Bantam Doubleday Dell Publishing Group Inc,English,The Immortal Highlander,Karen Marie Moning,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Science Fiction;Time Travel;Romance;Historical Romance,July 26th 2005,348,Dell,English,0
19951,19951,2526,573,Twisted,Emma Chase,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Mar 2014,272,SIMON & SCHUSTER,English,Twisted,Emma Chase,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Humor;Funny;Adult,March 25th 2014,272,Gallery Books,,1
20024,20024,3458,576,One Dom to Love : The Doms of Her Life - Book 1,Shayla Black:Jenna Jacob:Isabella Lapearl,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Dec 2012,236,Shelley Bradley LLC,English,Can't Help Falling in Love,Bella Andre,Romance;Romance;Contemporary Romance;Contemporary,December 2011,200,Bella Andre; via Smashwords,,0
20045,20045,2677,577,Somebody to Love,Kristan Higgins,Adult & Contemporary Romance:Adult & Contemporary Romance,24 Apr 2012,425,HarperCollins Publishers,English,Somebody to Love,Kristan Higgins,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,April 24th 2012,425,HQN Books,English,1
20191,20191,2715,580,Only Yours,Susan Mallery,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Oct 2011,378,HarperCollins Publishers,English,Baby; I'm Yours,Susan Andersen,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,May 1st 1998,384,Avon,English,0
20571,20571,1079,598,Archangel's Blade : Book 4,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,08 Sep 2011,320,Orion Publishing Co,English,Archangel's Kiss,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Urban Fantasy;Paranormal;Angels;Romance;Fantasy;Paranormal;Vampires,February 2nd 2010,323,Berkley Sensation,,0
20581,20581,1169,598,Archangel's Kiss : A Guild Hunter Novel,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,26 Aug 2010,338,Penguin Putnam Inc,English,Archangel's Kiss,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Urban Fantasy;Paranormal;Angels;Romance;Fantasy;Paranormal;Vampires,February 2nd 2010,323,Berkley Sensation,,1
20590,20590,1350,598,Archangel's Enigma : Book 8,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,05 Nov 2015,384,Orion Publishing Co,English,Archangel's Kiss,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Urban Fantasy;Paranormal;Angels;Romance;Fantasy;Paranormal;Vampires,February 2nd 2010,323,Berkley Sensation,,0
