id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
975,To Sir Phillip; With Love,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,August 25th 2009,372,Avon,English
976,The Shadow of the Wind,Carlos Ruiz Zafón;Lucia Graves,Fiction;Historical;Historical Fiction;Mystery;Fantasy;Writing;Books About Books;Cultural;Spain;Historical;Gothic;European Literature;Spanish Literature;Magical Realism,January 25th 2005,487,Penguin Books,English
977,Blaze of Memory,Nalini Singh;Angela Dawe,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Shapeshifters;Fantasy;Urban Fantasy,November 3rd 2009,373,Berkley,
978,Bonds of Justice,Nalini Singh,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters,July 6th 2010,348,Berkley,English
979,Tainted Bodies,Sarah  Robinson,Romance;Romantic Suspense;New Adult;Romance;Mystery,January 4th 2014,333,,
980,Her Forbidden Rockstar,Sarah  Robinson,Music;New Adult;Romance;Contemporary Romance,June 8th 2014,None,CreateSpace,
981,Melting Iron,Laurann Dohner,Science Fiction;Romance;Adult Fiction;Erotica;Romance;Paranormal Romance;Fantasy;Paranormal,June 30th 2010,206,Ellora's Cave,
982,Law Man,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary,February 4th 2012,535,,
983,Without Regret,R.L. Mathewson,Fantasy;Paranormal;Romance;Paranormal;Vampires;Romance;Paranormal Romance,October 1st 2011,380,R.L. Mathewson,
984,Mine to Hold,Shayla Black,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Erotic Romance,June 5th 2012,221,Berkley Heat,English
985,The Last Summer (of You and Me),Ann Brashares,Fiction;Romance;Young Adult;Contemporary;Adult;Adult Fiction,May 6th 2008,320,Riverhead Books,English
986,The Signature,Susan  Ward,Romance;Business;Amazon;Contemporary;Did Not Finish,June 24th 2014,328,Createspace,
987,A Whisper of Roses,Teresa Medeiros,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,February 2007,402,Bantam Books,English
988,Early Dawn,Catherine Anderson,Romance;Romance;Historical Romance;Historical;Westerns,December 29th 2009,417,Signet,English
989,Dom Wars: Round Six,Lucian Bane,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Humor,August 12th 2014,132,,
990,Vampire; Interrupted,Lynsay Sands,Paranormal;Vampires;Fantasy;Paranormal;Romance;Romance;Paranormal Romance,February 26th 2008,370,Avon,English
991,Dom Wars: Round Four,Lucian Bane,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Humor,May 8th 2014,134,,
992,Tapestry,Karen Ranney,Romance;Historical Romance;Romance;Historical;Fairy Tales;Beauty and The Beast;Historical;Regency,April 1st 1995,380,Zebra,English
993,The Statistical Probability of Love at First Sight,Jennifer E. Smith,Young Adult;Romance;Contemporary;Fiction;Realistic Fiction,January 2nd 2012,236,Poppy/Little Brown,English
994,A Room with a View,E.M. Forster,Classics;Fiction;Romance;Literature;Historical;Historical Fiction,January 1st 2005,119,Digireads.com,English
995,Mackenzies Bundle: Mackenzie's Mountain / Mackenzie's Mission / Mackenzie's Pleasure / A Game of Chance,Linda Howard,Romance;Romance;Contemporary Romance,October 1st 2006,1062,HQN,
996,Chased,Lauren Dane,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,September 25th 2007,220,Samhain Publishing,English
997,The Lover,Marguerite Duras;Barbara Bray;Maxine Hong Kingston,Fiction;Cultural;France;Classics;Romance;European Literature;French Literature,September 8th 1998,117,Pantheon Books,English
998,Twisted Together,Pepper Winters,Dark;Erotica;Bdsm;Romance;Adult Fiction;Erotica;Sociology;Abuse,June 1st 2014,574,CreateSpace Independent Publishing Platform,
999,Scandalous,Ella Steele,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary;New Adult,May 1st 2012,324,Laree Bailey Press,
1000,A Beautiful Dark,Jocelyn Davies,Paranormal;Angels;Young Adult;Fantasy;Paranormal;Fantasy;Romance,September 27th 2011,390,HarperTeen,English
1001,Tangled Up In You,Rachel Gibson,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,July 31st 2007,364,Avon,English
1002,So Worthy My Love,Kathleen E. Woodiwiss,Romance;Romance;Historical Romance;Historical,September 28th 1999,672,Avon,English
1003,A Court of Thorns and Roses,Sarah J. Maas,Fantasy;Young Adult;Romance;New Adult,May 5th 2015,416,Bloomsbury USA Childrens,English
1004,Blindfolded Innocence,Alessandra Torre,Romance;Adult Fiction;Erotica;Contemporary;Erotica;Bdsm;Romance;Contemporary Romance;Adult,July 19th 2012,307,,
1005,Appealed,Emma Chase,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny;Adult,January 19th 2016,288,Gallery Books,
1006,Unlawful Contact,Pamela Clare,Romance;Romantic Suspense;Romance;Romance;Contemporary Romance;Suspense;Contemporary,April 1st 2008,375,Berkley Sensation,English
1007,A Secret Love,Stephanie Laurens,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical Romance;Regency Romance;Historical;Historical Fiction,July 3rd 2000,400,Avon,English
1008,Suddenly Sexy,Linda Francis Lee,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports,August 31st 2004,361,Ivy Books,English
1009,The Other Guy's Bride,Connie Brockway,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Northern Africa;Egypt,December 11th 2011,364,Montlake Romance,English
1010,Keegan's Lady,Catherine Anderson,Romance;Historical Romance;Romance;Historical;Westerns;Romance;Western Romance;Historical;Historical Fiction,January 25th 2005,410,Avon,English
1011,Reaper's Property,Joanna Wylde,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance,January 9th 2013,306,Ellora's Cave Publishing Inc.,
1012,Landline,Rainbow Rowell,Fiction;Romance;Contemporary;Adult;Womens Fiction;Chick Lit;Adult Fiction,July 8th 2014,310,St. Martin's Press,English
1013,A Night Like This,Julia Quinn,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,May 29th 2012,373,Avon,English
1014,The Red and the Black,Stendhal;Roger Gard,Classics;Fiction;Cultural;France;European Literature;French Literature,,608,Penguin,English
1015,A Rogue by Any Other Name,Sarah MacLean,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,February 28th 2012,386,Avon,English
1016,Sweet Home,Tillie Cole,New Adult;Romance;Sports and Games;Sports;Academic;College;Contemporary;Did Not Finish;Romance;Contemporary Romance;Contemporary Romance;Sports Romance,October 13th 2013,401,,
1017,Mr. Impossible,Loretta Chase,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Fiction,March 1st 2005,320,Berkley Sensation,English
1018,Postmortem,Patricia Cornwell,Mystery;Mystery;Crime;Fiction;Thriller;Mystery Thriller;Suspense,December 30th 2003,342,Pocket Books,English
1019,Agnes and the Hitman,Jennifer Crusie;Bob Mayer,Romance;Womens Fiction;Chick Lit;Mystery;Romance;Contemporary Romance;Fiction;Contemporary;Humor,August 21st 2007,421,St. Martin's Press,English
1020,Hourglass,Claudia Gray,Paranormal;Vampires;Young Adult;Fantasy;Paranormal;Fantasy;Romance,March 9th 2010,339,HarperTeen,
1021,Wilde Ride,Maegan Lynn Moores,Romance;Romance;Contemporary Romance;Did Not Finish,December 20th 2012,200,Smashwords,None
1022,1984,George Orwell;Erich Fromm;Alenka Puhar;Dimitrij Rupel,Classics;Fiction;Science Fiction;Science Fiction;Dystopia,July 1st 1950,328,New American Library,English
1023,When We Collide,A.L. Jackson,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Sociology;Abuse,November 2nd 2012,216,Sapphire Star Publishing,
1024,Poison Princess,Kresley Cole,Young Adult;Fantasy;Fantasy;Paranormal;Romance;Science Fiction;Dystopia,October 2nd 2012,369,Simon & Schuster,English
1025,Irresistible,Susan Mallery,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction;Adult;Audiobook;War;Military;Family;Category Romance;Harlequin,July 1st 2006,376,HQN,English
1026,White Knight Dom Academy,Lucian Bane,Erotica;Bdsm;Romance;Adult Fiction;Erotica;Humor;Romance;Erotic Romance,,None,,None
1027,After Ever Happy,Anna Todd,Romance;New Adult;Contemporary,February 24th 2015,512,Gallery Books,English
1028,Cowgirl Up and Ride,Lorelei James,Adult Fiction;Erotica;Romance;Westerns;Contemporary;Romance;Contemporary Romance;Romance;Erotic Romance,March 2008,298,Samhain Publishing; Ltd.,English
1029,The Redhead Revealed,Alice Clayton,Romance;Romance;Contemporary Romance;Humor;Funny;Womens Fiction;Chick Lit;Contemporary;Adult,September 28th 2010,228,,English
1030,Tears of the Broken,Angela M. Hudson,Paranormal;Vampires;Fantasy;Paranormal;Young Adult;Romance;Fantasy,November 27th 2011,466,Angela Hudson,
1031,Passion Unleashed,Larissa Ione,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Paranormal;Vampires;Fantasy,March 31st 2009,454,Forever,English
1032,After,Anna Todd,Romance;New Adult;Contemporary;Young Adult,October 21st 2014,582,Gallery Books,English
1033,Surviving Raine,Shay Savage,New Adult;Adult Fiction;Erotica;Adventure;Survival;Sociology;Abuse,May 19th 2013,351,Shay Savage,
1034,Blindsided,Sayer Adams,Romance;Romance;Contemporary Romance;Music;Contemporary;New Adult,March 16th 2011,179,,None
1035,The Little House Collection,Laura Ingalls Wilder;Garth Williams,Classics;Childrens;Historical;Historical Fiction;Fiction;Young Adult,October 7th 2003,2700,Avon Books,English
1036,The Liar,Nora Roberts,Mystery;Contemporary;Suspense;Romance;Contemporary Romance;Romance,April 14th 2015,501,Berkley,English
1037,Rocked Under,Cora Hawkes,New Adult;Romance;Music;Contemporary;Academic;College,December 31st 2012,279,Cora Hawkes,
1038,Knight & Play,Kitty French,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Contemporary Romance;Contemporary,November 23rd 2012,210,Amazon Digital Services,
1039,Defiant,Pamela Clare,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction,July 3rd 2012,364,Berkley Sensation,English
1040,Windows,Billy London,Romance;Interracial Romance;Romance;Adult Fiction;Erotica,February 17th 2011,406,Beautiful Trouble Publishing,
1041,Innocent in Death,J.D. Robb,Mystery;Mystery;Crime;Romance;Fiction,February 20th 2007,385,G.P. Putnam's Sons,English
1042,When Fate Dictates,Elizabeth   Marshall,Fantasy;Science Fiction;Time Travel;Romance;Historical Romance;Romance;Historical;Historical Fiction;Fantasy;Paranormal,May 21st 2012,141,Createspace,
1043,The Chocolate Touch,Laura Florand,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Fiction,July 30th 2013,298,Kensington,
1044,The Thirteenth Tale,Diane Setterfield,Historical;Historical Fiction;Gothic;Writing;Books About Books;Adult,September 12th 2006,406,Atria Books,English
1045,Death Angel,Linda Howard,Romance;Romance;Romantic Suspense;Suspense;Contemporary;Romance;Contemporary Romance;Mystery,July 1st 2008,341,Ballantine,English
1046,Insurgent,Veronica Roth,Young Adult;Science Fiction;Dystopia;Fiction;Fantasy,May 1st 2012,525,HarperCollins Children's Books,English
1047,Knight's Mistress,C.C. Gibbs,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Contemporary Romance;Contemporary,December 6th 2012,364,Quercus,English
1048,The Bridgertons: Happily Ever After,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,April 2nd 2013,374,HarperCollins,English
1049,Rock Bottom,R.K. Lilley,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Contemporary;New Adult;Erotica;Bdsm,November 21st 2013,273,Amazon Digital Services,
1050,Waiting Fate,W.B. Kinnette,Romance;Sociology;Abuse;Contemporary,May 23rd 2013,192,Astraea Press,None
1051,The Language of Flowers,Vanessa Diffenbaugh,Fiction;Parenting;Adoption,August 23rd 2011,323,Ballantine Books,English
1052,Embrace,Jessica Shirvington,Paranormal;Angels;Young Adult;Fantasy;Paranormal;Fantasy;Romance,October 1st 2010,382,Hachette Australia,
1053,The Boots My Mother Gave Me,Brooklyn James,Romance;Contemporary;Sociology;Abuse;Womens Fiction;Chick Lit,August 9th 2010,280,Arena Books,
1054,I Only Have Eyes for You,Bella Andre,Romance;Romance;Contemporary Romance;Contemporary,February 22nd 2012,384,Oak Press LLC,
1055,The Chocolate Kiss,Laura Florand,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction;Adult,December 24th 2012,342,Kensington,
1056,Before We Were Strangers,Renee Carlino,Romance;Contemporary Romance;Romance;Academic;College;Fiction,August 18th 2015,320,Atria Books,English
1057,Queen of Babble,Meg Cabot,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Adult;Humor;Romance;Contemporary Romance;Young Adult;Humor;Funny;Adult Fiction,May 23rd 2006,309,William Morrow,English
1058,Feral Sins,Suzanne Wright,Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Paranormal;Shapeshifters;Shapeshifters;Werewolves;Fantasy;Adult Fiction;Erotica,March 3rd 2012,429,Suzanne Wright,
1059,The Raging Quiet,Sherryl Jordan,Historical;Historical Fiction;Young Adult;Historical;Romance;Fiction;Fantasy,April 27th 2004,362,Simon Pulse,English
1060,Taunting Krell,Laurann Dohner,Science Fiction;Romance;Adult Fiction;Erotica;Romance;Science Fiction Romance;Fantasy;Paranormal,October 14th 2011,152,Ellora's Cave,
1061,The Last Hellion,Loretta Chase,Romance;Historical;Romance;Historical Romance;Historical;Regency;Historical;Historical Fiction,April 1st 1998,379,Avon Books,English
1062,Daring to Dream,Nora Roberts,Romance;Romance;Contemporary Romance;Fiction;Contemporary,August 29th 2006,376,Jove,English
1063,Up to Me,Michelle Leighton,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,January 4th 2013,289,M. Leighton Books,
1064,The Hating Game,Sally  Thorne,Romance;Contemporary;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Adult;Fiction,August 9th 2016,387,William Morrow,;
1065,Nauti Intentions,Lora Leigh,Romance;Adult Fiction;Erotica;Romance;Erotic Romance;Romance;Contemporary Romance;Romance;Romantic Suspense;Contemporary,April 7th 2009,339,Berkley Sensation,English
1066,Carter Reed,Tijan,Romance;New Adult;Contemporary;Romance;Contemporary Romance,September 28th 2013,285,,
1067,Hunted,Rebecca Zanetti,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance,May 1st 2012,333,Brava,English
1068,Smokeless Fire,Samantha Young,Fantasy;Young Adult;Fantasy;Paranormal;Romance;Fantasy;Magic,October 21st 2011,358,CreateSpace,English
1069,The Proposition,Katie Ashley,Romance;Romance;Contemporary Romance;Contemporary;Adult;Womens Fiction;Chick Lit,December 9th 2012,316,CreateSpace,English
1070,The Unknown Ajax,Georgette Heyer,Romance;Historical;Historical Fiction;Historical;Regency;Romance;Historical Romance;Historical;Fiction,January 6th 2005,352,Arrow,English
1071,The Siren,Tiffany Reisz,Erotica;Bdsm;Romance;Adult Fiction;Erotica;Contemporary;Dark;Adult,July 24th 2012,432,Mira,English
1072,Touched,Elisa S. Amore,Fantasy;Paranormal;Angels;Young Adult;Fantasy;Paranormal;Romance;Did Not Finish;Romance;Paranormal Romance;Fantasy;Urban Fantasy;Fantasy;Supernatural;Abandoned,November 16th 2012,455,Youcanprint,Italian
1073,Flowers in the Attic,V.C. Andrews,Fiction;Horror;Mystery;Young Adult,,389,Pocket Books,English
1074,Faking It,Jennifer Crusie,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Fiction;Contemporary;Humor;Humor;Funny;Adult;Mystery;Humor;Comedy,July 11th 2004,448,St. Martin's Paperbacks,English
1075,Comanche Heart,Catherine Anderson,Romance;Historical Romance;Romance;Historical;Westerns;Romance;Western Romance,January 4th 1992,384,HarperTorch,
1076,It's All Relative,S.C. Stephens,Romance;New Adult;Romance;Contemporary Romance;Contemporary,,None,,
1077,Six Years,Harlan Coben,Mystery;Thriller;Fiction;Suspense;Thriller;Mystery Thriller;Mystery;Crime,March 19th 2013,351,Dutton,English
1078,An Echo in the Bone,Diana Gabaldon,Historical;Historical Fiction;Romance;Fiction;Fantasy;Science Fiction;Time Travel;Historical,January 21st 2010,1149,Orion,English
1079,The Law of Moses,Amy Harmon,Romance;New Adult;Fantasy;Paranormal;Contemporary;Young Adult;Romance;Contemporary Romance,November 27th 2014,359,Amy Harmon,
1080,Propositioning Mr. Raine,Laurann Dohner,Romance;Contemporary;Adult Fiction;Erotica;Romance;Contemporary Romance;Romance;Erotic Romance,July 30th 2010,118,Ellora's Cave Publishing,English
1081,American Love Songs,Ashlyn Kane,Romance;M M Romance;Contemporary;Romance;Music,December 31st 2010,260,Dreamspinner Press,English
1082,Double Time,Olivia Cunning,Romance;Adult Fiction;Erotica;Contemporary;Music;Erotica;Menage,November 6th 2012,416,Sourcebooks Casablanca,English
1083,Making You Mine,Elizabeth Reyes,Romance;New Adult;Contemporary;Romance;Contemporary Romance,December 2011,372,,None
1084,Fate and Fury,Quinn Loftis,Fantasy;Paranormal;Shapeshifters;Werewolves;Romance;Young Adult;Fantasy,March 15th 2013,292,,
1085,A Place to Call Home,Deborah Smith,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Womens Fiction;Chick Lit;Adult,May 4th 1998,415,Bantam,English
1086,Entrée,Ivan Rusilko;Everly Drummond,Romance;Romance;Contemporary Romance;Adult Fiction;Erotica;Romance;Erotic Romance,December 18th 2012,208,Omnific Publishing,
1087,Garden Spells,Sarah Addison Allen,Fiction;Fantasy;Magical Realism;Romance;Womens Fiction;Chick Lit;Fantasy;Magic,August 28th 2007,304,Bantam,English
1088,Grey,E.L. James,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Fiction,June 18th 2015,576,Vintage,English
1089,Taking Chase,Lauren Dane,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,February 20th 2007,253,Samhain Publishing,English
1090,Master of Crows,Grace Draven,Fantasy;Romance;Romance;Fantasy Romance;Fantasy;Magic;Romance;Paranormal Romance;Fantasy;Paranormal,July 13th 2009,276,Amber Quill Press,English
1091,The Will,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary;Adult,April 8th 2014,453,,
1092,Never Never,Colleen Hoover;Tarryn Fisher,Romance;Young Adult;Contemporary;New Adult;Mystery,January 7th 2015,159,Hoover Ink,
1093,Sold to the Highest Bidder,Donna Alward,Romance;Romance;Contemporary Romance;Contemporary,February 1st 2011,216,Samhain Publishing,
1094,The Hours,Michael Cunningham,Fiction;Historical;Historical Fiction;Literary Fiction;Novels;Literature;Contemporary;Adult Fiction;Literature;American;Historical;Lgbt,January 15th 2000,226,Picador USA,English
1095,Archangel's Blade,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Urban Fantasy;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,September 6th 2011,310,Berkley Sensation,English
1096,Gentle Rogue,Johanna Lindsey,Romance;Historical Romance;Romance;Historical;Historical;Regency;Adventure;Pirates,July 12th 2011,452,Avon,
1097,Raine on Me,Laurann Dohner,Romance;Contemporary;Adult Fiction;Erotica;Romance;Contemporary Romance;Romance;Erotic Romance,February 1st 2011,214,Ellora's Cave Publishing,
1098,Second Helpings,Megan McCafferty,Young Adult;Womens Fiction;Chick Lit;Fiction;Romance;Contemporary,April 22nd 2003,357,Broadway Books,English
1099,The Edge of Desire,Stephanie Laurens,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,August 26th 2008,433,Avon,English
1100,The Fountainhead,Ayn Rand;Leonard Peikoff,Fiction;Classics;Philosophy;Literature,September 1st 1996,704,Signet Book,English
1101,The Hellion Bride,Catherine Coulter,Romance;Romance;Historical Romance;Historical;Fiction;Historical;Historical Fiction,November 1st 1992,378,Berkley Books,English
1102,Fantastical,Kristen Ashley,Fantasy;Romance;Fantasy;Paranormal;Romance;Fantasy Romance,November 1st 2011,438,,
1103,The Highlander's Touch,Karen Marie Moning,Romance;Science Fiction;Time Travel;Romance;Paranormal Romance;Romance;Historical Romance;Fantasy;Paranormal;Fantasy;Historical,May 29th 2007,356,Dell Publishing Company,English
1104,Left Drowning,Jessica Park,New Adult;Romance;Contemporary;Academic;College;Romance;Contemporary Romance;Sociology;Abuse,July 16th 2013,399,Skyscape,English
1105,Unravel Me,Tahereh Mafi,Science Fiction;Dystopia;Young Adult;Fantasy;Paranormal;Science Fiction,February 5th 2013,461,HarperCollins,English
1106,Blue Moon,Laurell K. Hamilton,Fantasy;Urban Fantasy;Paranormal;Vampires;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance,November 1st 1998,418,Ace Books,English
1107,Taken at Dusk,C.C. Hunter,Fantasy;Paranormal;Paranormal;Vampires;Young Adult;Shapeshifters;Werewolves;Romance,April 10th 2012,380,St. Martin's Press,English
1108,Independence,Shelly Crane,Fantasy;Paranormal;Young Adult;Romance;Fantasy;Romance;Paranormal Romance,December 18th 2012,233,Kiss Me Publications; LLC,
1109,Crave,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Fantasy;Urban Fantasy,October 5th 2010,454,Signet,English
1110,The Secret Keeper,Kate Morton,Historical;Historical Fiction;Fiction;Mystery;Historical;Romance,October 9th 2012,484,Atria,English
1111,My Life Next Door,Huntley Fitzpatrick,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Realistic Fiction,June 14th 2012,394,Dial Books For Young Readers,English
1112,Kill and Tell,Linda Howard,Romance;Romantic Suspense;Romance;Mystery;Suspense;Contemporary;Romance;Contemporary Romance,October 1st 2003,305,Pocket Star,English
1113,Stargazer,Claudia Gray,Paranormal;Vampires;Young Adult;Fantasy;Paranormal;Fantasy;Romance,March 24th 2009,329,HarperTeen,English
1114,It Ain't Me; Babe,Tillie Cole,Romance;Dark;Sociology;Abuse;New Adult,April 26th 2014,466,Tillie Cole LTD,
1115,Brightest Kind of Darkness,P.T. Michelle;Patrice Michelle,Young Adult;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance,June 27th 2011,357,Patrice Michelle,
1116,Wildest Dreams,Kristen Ashley,Fantasy;Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Magic,August 15th 2011,536,,
1117,My Lord and Spymaster,Joanna Bourne,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Spy Thriller;Espionage;Mystery;Historical;Regency,July 1st 2008,324,Berkley Sensation,English
1118,Marked,P.C. Cast;Kristin Cast,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal,May 1st 2007,306,St. Martin's Press,English
1119,Because We Belong,Beth Kery,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Contemporary;Romance;Erotic Romance,November 5th 2013,418,Berkley,English
1120,More Than This,Jay McLean,New Adult;Romance;Contemporary;Young Adult;Academic;College;Romance;Contemporary Romance,July 10th 2013,311,,
1121,Animal Attraction,Jill Shalvis,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,October 4th 2011,293,Berkley,English
1122,My Favorite Mistake,Chelsea M. Cameron,New Adult;Romance;Academic;College;Contemporary;Romance;Contemporary Romance;Young Adult,August 27th 2013,400,Harlequin HQN,English
1123,Lethal Rider,Larissa Ione,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Paranormal;Angels;Fantasy;Paranormal;Vampires,May 22nd 2012,464,Piatkus Books,English
1124,The Pursuit,Johanna Lindsey,Romance;Historical Romance;Romance;Historical;Fiction,August 29th 2006,400,Avon,English
1125,The Sherbrooke Bride,Catherine Coulter,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Historical;Regency,April 1st 1992,409,Jove,English
1126,Butterfly Tattoo,Deidre Knight,Romance;Romance;Contemporary Romance;Contemporary;Romance;M M Romance,February 2nd 2010,296,Samhain Publishing,English
1127,Killjoy,Julie Garwood,Romance;Romance;Romantic Suspense;Mystery;Suspense;Contemporary;Romance;Contemporary Romance;Fiction,September 27th 2005,448,Ballantine Books,English
1128,Message in a Bottle,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary,December 1st 1999,342,Warner Books,English
1129,Nightshade,Andrea Cremer,Young Adult;Fantasy;Paranormal;Fantasy;Shapeshifters;Werewolves;Romance,October 19th 2010,452,Philomel,English
1130,This Duchess of Mine,Eloisa James,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,May 26th 2009,370,Avon,English
1131,The Count of Monte Cristo,Alexandre Dumas;Robin Buss,Classics;Fiction;Historical;Historical Fiction;Adventure;Literature;Cultural;France;Historical,May 27th 2003,1276,Penguin Classics,English
1132,The Darkest Fire,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,,66,HQN Books,English
1133,Mudbound,Hillary Jordan,Historical;Historical Fiction;Fiction;Historical,March 4th 2008,328,Algonquin Books,English
1134,Gus,Kim Holden,Romance;New Adult;Contemporary;Music,May 19th 2015,389,,None
1135,The Deepest Cut,J.A. Templeton,Fantasy;Paranormal;Young Adult;Paranormal;Ghosts;Romance;Fantasy,October 1st 2011,304,Julia Templeton,
1136,The Fellowship of the Ring,J.R.R. Tolkien,Classics;Fiction;Adventure;Science Fiction Fantasy,September 5th 2003,398,Houghton Mifflin Harcourt,English
1137,Sustained,Emma Chase,Romance;Contemporary;Romance;Contemporary Romance;Humor;Funny;Adult;New Adult,August 25th 2015,267,Gallery Books,English
1138,Born of Silence,Sherrilyn Kenyon,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Science Fiction;Fantasy,May 1st 2012,614,Grand Central Publishing,
1139,Wait for Me,Elisabeth Naughton,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Contemporary;Suspense;Mystery,December 22nd 2011,266,Elisabeth Naughton,English
1140,Obsession,Jennifer L. Armentrout,Fantasy;Paranormal;Romance;Science Fiction;Aliens;New Adult;Fantasy;Romance;Paranormal Romance;Adult,May 31st 2013,249,Entangled: Embrace,;
1141,Playing the Game,J.L. Paul,Sports and Games;Sports;Romance;Contemporary Romance;Sports Romance;New Adult;Music;Romance;Contemporary Romance,December 6th 2011,None,,None
1142,Simply Love,Mary Balogh,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction,February 27th 2007,418,Dell,English
1143,Dark Witch,Nora Roberts,Romance;Fantasy;Fantasy;Paranormal;Fiction;Romance;Paranormal Romance;Paranormal;Witches;Fantasy;Magic,October 29th 2013,342,Berkley,English
1144,It's Not Summer Without You,Jenny Han;Alice Delarbre,Young Adult;Romance;Contemporary,April 27th 2010,288,Simon  Schuster Books for Young Readers,English
1145,Pleasures of a Notorious Gentleman,Lorraine Heath,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical Romance;Regency Romance,November 30th 2010,372,Avon,English
1146,La Dame aux Camélias,Alexandre Dumas fils;David Coward,Classics;Fiction;Romance;Cultural;France;European Literature;French Literature;Historical;Historical Fiction,March 30th 2000,256,Oxford University Press,English
1147,Animal Farm,George Orwell,Classics;Science Fiction;Dystopia;Fantasy;Literature;Academic;School;Politics;Science Fiction;Academic;Read For School;Animals;Novels,May 6th 2003,122,NAL,English
1148,Claimed,Rebecca Zanetti,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,October 25th 2011,321,Brava,English
1149,Thief,Tarryn Fisher,Romance;New Adult;Contemporary;Romance;Contemporary Romance,July 21st 2013,273,,
